LocationID,lon,lat
4,-73.97696825691766,40.723752141584804
12,-74.015563512559,40.70294583498472
13,-74.01607915192925,40.71203815707448
24,-73.96547951516966,40.80197049389963
41,-73.9512920024351,40.804333949794604
42,-73.94077166756269,40.81825786111926
43,-73.96555356545915,40.7824780997479
45,-73.99815149899052,40.712459311779526
48,-73.98984464313301,40.762252755319366
50,-73.99513522075517,40.766237725041854
68,-73.99991742024712,40.748427555065724
74,-73.9373456081249,40.8011694805865
75,-73.94575026755157,40.79001075149545
79,-73.9859374568246,40.727620195909545
87,-74.00749598562432,40.706808451665864
88,-74.01151502922325,40.703357903236146
90,-73.99697141558364,40.74227862901228
100,-73.9887865991153,40.75351275872571
103,-74.01907272636834,40.68878423861297
107,-73.98405213268919,40.736824057618975
113,-73.99430477051165,40.73257907302702
114,-73.99738026020042,40.7283403913723
116,-73.9485217302088,40.82701265492538
120,-73.93018219742834,40.84666774830274
125,-74.00748581800953,40.7262904102812
127,-73.91930823586193,40.866075000727776
128,-73.92436981716105,40.8723788095736
137,-73.97649472376756,40.740438978596394
140,-73.95473878380503,40.765484087889845
141,-73.9596347414917,40.766948216383234
142,-73.98153220639182,40.7736332930271
143,-73.98764554944387,40.77596522876098
144,-73.99691854183823,40.72088889344527
148,-73.99089626184734,40.71893835938025
151,-73.9681683330924,40.79796199310004
152,-73.95378223705632,40.81797514762944
153,-73.91037866410586,40.87596780221243
158,-74.0089841047853,40.73503540069664
161,-73.97769793122403,40.758028043526274
162,-73.97235594352028,40.75668765218882
163,-73.97756868222719,40.7644214057868
164,-73.98515639467684,40.74857462935672
166,-73.96176359682921,40.80945696112528
170,-73.97849159965229,40.74774579364392
186,-73.99243753697608,40.748497181405
194,-73.92459630024577,40.7910007817113
202,-73.94995171169585,40.76189974995508
209,-74.00366456329895,40.7090727427931
211,-74.00153756565634,40.72388811004171
224,-73.97659767323344,40.731820636016764
229,-73.96514579918421,40.75672894163307
230,-73.98419648907571,40.75981761719184
231,-74.00787970866403,40.717772736265175
232,-73.98302455833489,40.71473250693942
233,-73.97044256869238,40.74991407790217
234,-73.99045782354733,40.74033744175702
236,-73.95701169835736,40.78043643718997
237,-73.96563453538072,40.76861518381155
238,-73.97304890061594,40.791704934427074
239,-73.9786319484508,40.78396143031378
243,-73.93283148761293,40.85710828331441
244,-73.94139910573644,40.84170877111979
246,-74.00401512528653,40.75330906598341
249,-74.00287495910837,40.73457600733177
261,-74.013022771749,40.709138940671856
262,-73.94651035601463,40.775932403149945
263,-73.95100987481798,40.77876585543437
